text,label
Buy one get one free on all vacation! This weekend only.,spam
Congratulations! You have won a $1583 prize. Click here to claim now!,spam
The bug in the login module has been fixed and deployed to staging.,ham
Act now to receive exclusive discounts on laptop. Offer expires soon!,spam
Lose 42074 pounds in just 12 days with this miracle pill!,spam
Cheap camera available now at unbeatable prices! Order today.,spam
Hot singles in your area are waiting for you. Click to meet them!,spam
You are selected for a special cashback offer of 17%. Reply YES.,spam
Happy birthday Alex! Hope you have a wonderful day!,ham
Could you please share the updated spreadsheet with the latest numbers?,ham
Buy one get one free on all tablet! This weekend only.,spam
The project deadline has been moved to next Friday. Please plan accordingly.,ham
Hot singles in your area are waiting for you. Click to meet them!,spam
Win a brand new vacation! Click the link below to enter the draw.,spam
"Hey Morgan, are you available for a quick call this afternoon?",ham
URGENT: Your account has been compromised. Verify your identity immediately.,spam
Secret method to earn $933 daily from home — guaranteed!,spam
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
Get rich quick scheme: invest $37827 and earn ten times profit.,spam
The bug in the login module has been fixed and deployed to staging.,ham
"FREE TV for you! Limited time offer, act now!",spam
WARNING: Your computer is infected! Download our antivirus now.,spam
"Hi Morgan, just wanted to follow up on our meeting yesterday.",ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
"Hey Morgan, are you available for a quick call this afternoon?",ham
"Thanks for sending over the documents, I'll review them by end of day.",ham
Congratulations! You have won a $13717 prize. Click here to claim now!,spam
"Hi Quinn, just wanted to follow up on our meeting yesterday.",ham
Get rich quick scheme: invest $28319 and earn ten times profit.,spam
Can we reschedule our 1-on-1 to Thursday at 3 PM?,ham
Please confirm your attendance for the company picnic next week.,ham
Could you please share the updated spreadsheet with the latest numbers?,ham
Please confirm your attendance for the company picnic next week.,ham
The server maintenance is scheduled for this Saturday from 2-4 AM.,ham
Reminder: team standup is at 10 AM tomorrow in the conference room.,ham
Hot singles in your area are waiting for you. Click to meet them!,spam
The bug in the login module has been fixed and deployed to staging.,ham
Win a brand new TV! Click the link below to enter the draw.,spam
I'll be out of office from Monday to Wednesday. Reach out to Jordan if urgent.,ham
Secret method to earn $49612 daily from home — guaranteed!,spam
Congratulations! You have won a $38852 prize. Click here to claim now!,spam
I'll be out of office from Monday to Wednesday. Reach out to Casey if urgent.,ham
Exclusive VIP membership — join today for only $30207 per month.,spam
Don't forget to submit your timesheet by end of day Friday.,ham
"Great job on the presentation today, Taylor! Very well done.",ham
Let's schedule a meeting to discuss the new feature requirements.,ham
Your email has won our international lottery worth $36395.,spam
Here are the notes from today's brainstorming session.,ham
"Great job on the presentation today, Riley! Very well done.",ham
You've been randomly selected to receive a free vacation. No purchase necessary.,spam
"Thanks for your help with the client demo, it went really well!",ham
Make money fast! Earn $40740 per week working from home.,spam
I've completed the code review for the pull request. See my comments.,ham
Please find attached the quarterly report for your review.,ham
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
The new hire orientation starts at 9 AM on Monday in Room 201.,ham
Buy one get one free on all laptop! This weekend only.,spam
Your email has won our international lottery worth $812.,spam
Buy one get one free on all TV! This weekend only.,spam
"FREE laptop for you! Limited time offer, act now!",spam
CONGRATULATIONS! Claim your reward of $27310 gift card now!,spam
Cheap tablet available now at unbeatable prices! Order today.,spam
"FREE iPhone for you! Limited time offer, act now!",spam
